transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday
T0010001,C021074,36-45,Other,New York,Loyal,P8054,Home & Kitchen,593.69,5,564.01,2,1128.02,Cash,2025-11-24,4,0,0
T0010002,C015247,46-55,Male,Chicago,Returning,P3410,Sports,320.11,30,224.08,1,224.08,PayPal,2025-11-27,0,0,0
T0010003,C004341,18-25,Female,Dallas,New,P7617,Home & Kitchen,53.89,35,35.03,5,175.15,Gift Card,2025-11-25,13,0,0
T0010004,C025271,56+,Female,Houston,Loyal,P2859,Accessories,304.5,25,228.38,1,228.38,PayPal,2025-12-01,3,0,0
T0010005,C018587,46-55,Female,Dallas,Loyal,P2816,Footwear,231.64,40,138.98,1,138.98,PayPal,2025-11-25,4,0,0
T0010006,C013906,26-35,Female,Seattle,Returning,P8898,Electronics,1660.92,10,1494.83,2,2989.66,Debit Card,2025-11-24,17,0,0
T0010007,C034555,56+,Female,San Francisco,Returning,P2412,Books,77.03,25,57.77,3,173.31,Cash,2025-11-27,12,0,0
T0010008,C014252,26-35,Female,Los Angeles,Loyal,P4607,Books,115.03,40,69.02,1,69.02,Debit Card,2025-11-25,16,0,0
T0010009,C006745,56+,Male,Chicago,Returning,P3294,Sports,431.68,5,410.1,1,410.1,Credit Card,2025-11-27,17,0,0
T0010010,C018223,46-55,Male,Chicago,Returning,P3690,Books,41.44,30,29.01,1,29.01,Cash,2025-11-29,9,1,0
T0010011,C004904,46-55,Other,Miami,Loyal,P4183,Accessories,407.95,5,387.55,1,387.55,Cash,2025-11-24,3,0,0
T0010012,C027640,36-45,Male,San Francisco,New,P4305,Toys,135.19,15,114.91,4,459.64,Mobile Wallet,2025-11-30,10,1,0
T0010013,C028522,26-35,Female,Phoenix,Returning,P2308,Sports,55.04,25,41.28,5,206.4,Debit Card,2025-11-28,15,0,1
T0010014,C020827,36-45,Male,Seattle,VIP,P7981,Home & Kitchen,787.38,25,590.54,1,590.54,Credit Card,2025-11-25,21,0,0
T0010015,C020980,18-25,Male,Chicago,Loyal,P9237,Groceries,79.54,40,47.72,1,47.72,PayPal,2025-11-29,5,1,0
T0010016,C012986,46-55,Other,Chicago,Returning,P9904,Beauty,233.28,25,174.96,3,524.88,Cash,2025-11-29,0,1,0
T0010017,C012919,26-35,Other,Phoenix,VIP,P9551,Accessories,177.47,20,141.98,1,141.98,Cash,2025-11-24,6,0,0
T0010018,C003255,26-35,Male,Houston,New,P7013,Home & Kitchen,77.89,30,54.52,1,54.52,Cash,2025-11-24,13,0,0
T0010019,C032371,36-45,Male,Seattle,Loyal,P2963,Toys,284.57,25,213.43,1,213.43,Debit Card,2025-11-30,9,1,0
T0010020,C032680,26-35,Other,Seattle,Loyal,P2983,Groceries,167.32,10,150.59,1,150.59,Gift Card,2025-12-01,4,0,0
T0010021,C003067,36-45,Male,San Francisco,New,P7576,Books,117.62,30,82.33,1,82.33,PayPal,2025-11-27,6,0,0
T0010022,C017985,18-25,Female,Miami,Loyal,P4302,Toys,62.49,10,56.24,1,56.24,Cash,2025-11-24,4,0,0
T0010023,C027607,46-55,Other,Houston,Loyal,P3414,Sports,32.31,35,21.0,3,63.0,Mobile Wallet,2025-11-29,10,1,0
T0010024,C007816,36-45,Male,San Francisco,New,P8619,Clothing,286.31,10,257.68,4,1030.72,Mobile Wallet,2025-12-01,0,0,0
T0010025,C008133,18-25,Male,Phoenix,New,P2627,Clothing,227.85,20,182.28,1,182.28,PayPal,2025-11-26,14,0,0
