transaction_id,customer_id,age_group,gender,city,customer_segment,product_id,product_category,original_price,discount_pct,final_price,quantity,purchase_amount,payment_method,purchase_date,purchase_hour,is_weekend,is_black_friday
T0070001,C001267,36-45,Other,Phoenix,Returning,P1154,Footwear,271.81,35,176.68,1,176.68,Mobile Wallet,2025-11-26,13,0,0
T0070002,C030071,18-25,Male,Phoenix,Loyal,P6411,Electronics,795.62,35,517.15,1,517.15,PayPal,2025-11-27,19,0,0
T0070003,C002132,46-55,Female,Phoenix,New,P2162,Clothing,172.16,40,103.3,1,103.3,Cash,2025-11-29,8,1,0
T0070004,C012558,36-45,Other,Miami,VIP,P2973,Books,11.92,40,7.15,1,7.15,PayPal,2025-11-27,22,0,0
T0070005,C017975,56+,Other,New York,Returning,P4405,Groceries,57.58,30,40.31,1,40.31,Cash,2025-11-24,7,0,0
T0070006,C006537,18-25,Male,Seattle,Loyal,P4179,Books,41.43,50,20.72,1,20.72,Cash,2025-11-25,22,0,0
T0070007,C007891,56+,Female,Dallas,New,P4752,Footwear,223.05,20,178.44,1,178.44,Gift Card,2025-11-30,13,1,0
T0070008,C025683,56+,Male,Houston,Returning,P3453,Accessories,498.88,40,299.33,1,299.33,PayPal,2025-11-28,18,0,1
T0070009,C012856,46-55,Male,Houston,Loyal,P5005,Books,9.31,40,5.59,1,5.59,Credit Card,2025-11-27,6,0,0
T0070010,C027448,56+,Other,Dallas,Loyal,P2541,Beauty,218.6,35,142.09,2,284.18,Cash,2025-11-30,13,1,0
T0070011,C004844,56+,Male,Phoenix,New,P9337,Home & Kitchen,1054.46,15,896.29,1,896.29,Gift Card,2025-11-25,8,0,0
T0070012,C002307,26-35,Other,Seattle,Returning,P8238,Beauty,167.46,10,150.71,4,602.84,Mobile Wallet,2025-11-26,18,0,0
T0070013,C005968,36-45,Other,Seattle,Loyal,P2254,Sports,41.99,15,35.69,1,35.69,Credit Card,2025-11-28,18,0,1
T0070014,C000583,26-35,Other,Phoenix,New,P8430,Accessories,467.0,15,396.95,1,396.95,Debit Card,2025-11-27,1,0,0
T0070015,C034728,18-25,Other,Chicago,Loyal,P5161,Beauty,245.74,35,159.73,1,159.73,PayPal,2025-11-26,12,0,0
T0070016,C013111,46-55,Male,Miami,Returning,P1311,Beauty,81.98,30,57.39,1,57.39,Gift Card,2025-11-25,2,0,0
T0070017,C003516,18-25,Other,Dallas,New,P8959,Footwear,65.33,40,39.2,1,39.2,Cash,2025-11-25,16,0,0
T0070018,C006771,56+,Female,Seattle,New,P8666,Beauty,232.75,30,162.92,2,325.84,Gift Card,2025-11-26,9,0,0
T0070019,C024346,26-35,Other,Houston,Returning,P9131,Beauty,17.83,20,14.26,1,14.26,Gift Card,2025-11-25,19,0,0
T0070020,C012709,56+,Female,Atlanta,Loyal,P4489,Books,89.41,35,58.12,1,58.12,Gift Card,2025-11-26,0,0,0
T0070021,C022488,46-55,Male,Los Angeles,Loyal,P4925,Books,118.73,35,77.17,1,77.17,Cash,2025-11-24,5,0,0
T0070022,C009046,46-55,Female,New York,Loyal,P7021,Sports,268.31,40,160.99,1,160.99,Debit Card,2025-11-30,14,1,0
T0070023,C029422,56+,Male,San Francisco,Returning,P8421,Books,46.99,50,23.5,1,23.5,Cash,2025-11-26,1,0,0
T0070024,C001436,18-25,Male,Seattle,Returning,P5138,Clothing,94.57,40,56.74,1,56.74,PayPal,2025-11-25,5,0,0
T0070025,C002969,56+,Male,Miami,New,P1069,Sports,284.85,25,213.64,1,213.64,Cash,2025-11-24,10,0,0
T0070026,C021420,36-45,Female,Seattle,Loyal,P1724,Footwear,123.79,15,105.22,1,105.22,Cash,2025-12-01,20,0,0
T0070027,C026775,56+,Female,Dallas,Returning,P3944,Groceries,191.82,25,143.86,1,143.86,Credit Card,2025-11-28,2,0,1
T0070028,C002455,18-25,Other,Chicago,Loyal,P6002,Sports,186.41,20,149.13,4,596.52,Gift Card,2025-11-29,8,1,0
T0070029,C033346,26-35,Female,San Francisco,New,P9082,Books,117.71,15,100.05,1,100.05,Credit Card,2025-11-28,18,0,1
T0070030,C034917,36-45,Female,Dallas,Loyal,P2463,Home & Kitchen,153.75,30,107.62,1,107.62,Gift Card,2025-11-26,21,0,0
T0070031,C026729,26-35,Female,Atlanta,VIP,P3535,Groceries,5.98,25,4.49,1,4.49,Mobile Wallet,2025-11-26,13,0,0
T0070032,C012630,18-25,Male,Los Angeles,Returning,P8461,Books,22.7,35,14.76,1,14.76,Gift Card,2025-11-28,9,0,1
T0070033,C018907,18-25,Male,Atlanta,Loyal,P8751,Footwear,65.78,35,42.76,2,85.52,PayPal,2025-12-01,12,0,0
T0070034,C005608,26-35,Other,Los Angeles,Returning,P1012,Sports,78.89,20,63.11,1,63.11,Debit Card,2025-11-25,23,0,0
T0070035,C025204,46-55,Female,Los Angeles,Loyal,P5205,Books,26.23,25,19.67,1,19.67,Cash,2025-11-24,0,0,0
T0070036,C009194,18-25,Other,Los Angeles,New,P6422,Groceries,21.51,20,17.21,2,34.42,Mobile Wallet,2025-12-01,19,0,0
T0070037,C020435,36-45,Male,Los Angeles,Loyal,P8985,Groceries,176.53,35,114.74,2,229.48,PayPal,2025-11-24,10,0,0
T0070038,C006942,36-45,Other,New York,New,P6827,Toys,104.32,30,73.02,1,73.02,Credit Card,2025-11-28,23,0,1
T0070039,C017142,18-25,Other,New York,New,P2027,Clothing,271.96,5,258.36,1,258.36,Gift Card,2025-11-27,19,0,0
T0070040,C017227,26-35,Male,Houston,VIP,P8883,Beauty,133.28,40,79.97,1,79.97,Debit Card,2025-11-28,20,0,1
T0070041,C028742,36-45,Male,Phoenix,Loyal,P5658,Electronics,971.51,20,777.21,1,777.21,Mobile Wallet,2025-11-30,21,1,0
T0070042,C018454,36-45,Female,Phoenix,Loyal,P7432,Accessories,441.61,30,309.13,2,618.26,Gift Card,2025-11-28,6,0,1
T0070043,C025498,26-35,Other,Seattle,Returning,P8229,Sports,285.89,20,228.71,1,228.71,Cash,2025-11-26,17,0,0
T0070044,C001900,36-45,Male,Chicago,Loyal,P2315,Accessories,334.16,10,300.74,1,300.74,Mobile Wallet,2025-11-30,22,1,0
T0070045,C023574,18-25,Other,Seattle,Loyal,P4021,Electronics,913.04,20,730.43,1,730.43,Cash,2025-11-30,22,1,0
T0070046,C032479,56+,Male,Phoenix,Loyal,P7112,Toys,18.13,40,10.88,2,21.76,PayPal,2025-12-01,2,0,0
T0070047,C010901,26-35,Male,Atlanta,New,P9368,Accessories,286.34,25,214.76,4,859.04,Mobile Wallet,2025-11-27,9,0,0
T0070048,C016296,26-35,Other,Seattle,Returning,P4837,Groceries,62.94,30,44.06,1,44.06,Mobile Wallet,2025-11-25,16,0,0
T0070049,C011011,46-55,Female,San Francisco,Returning,P6399,Accessories,263.97,20,211.18,2,422.36,Debit Card,2025-11-28,3,0,1
T0070050,C004132,46-55,Male,Atlanta,VIP,P2882,Electronics,263.18,30,184.23,2,368.46,Credit Card,2025-11-25,12,0,0
T0070051,C012961,46-55,Female,Atlanta,Returning,P1259,Toys,60.94,15,51.8,1,51.8,Mobile Wallet,2025-11-29,8,1,0
T0070052,C021140,36-45,Other,Atlanta,Loyal,P1855,Beauty,194.87,35,126.67,3,380.01,Mobile Wallet,2025-11-26,3,0,0
T0070053,C031515,36-45,Other,Miami,Returning,P2461,Books,91.33,35,59.36,1,59.36,Gift Card,2025-11-28,0,0,1
T0070054,C027219,26-35,Female,Dallas,New,P3334,Groceries,8.94,30,6.26,1,6.26,Debit Card,2025-11-29,14,1,0
T0070055,C022562,36-45,Female,San Francisco,Loyal,P7303,Beauty,102.53,20,82.02,1,82.02,Debit Card,2025-11-26,16,0,0
T0070056,C012872,26-35,Male,Atlanta,New,P3474,Clothing,299.9,15,254.91,1,254.91,Debit Card,2025-11-24,3,0,0
T0070057,C034660,26-35,Female,San Francisco,Loyal,P5020,Toys,107.34,5,101.97,2,203.94,Gift Card,2025-11-25,12,0,0
T0070058,C015202,36-45,Other,Seattle,Returning,P7414,Home & Kitchen,57.42,50,28.71,2,57.42,PayPal,2025-11-26,5,0,0
T0070059,C012428,26-35,Other,Houston,Returning,P3583,Electronics,973.58,50,486.79,1,486.79,Gift Card,2025-11-30,11,1,0
